title,company,location,is_wfh,stipend,stipend_min,stipend_max,duration,posted,link
Customer Service/Customer Support,Fitelo,Mohali,No,"₹ 13,000 - 15,000 /month",13000,15000,N/A,1 week ago,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-mohali-at-fitelo1776065874
Graphic Designer,Greater Than Educational Technologies,Hyderabad,No,"₹ 10,000 - 15,000 /month",10000,15000,N/A,1 week ago,https://internshala.com/internship/detail/graphic-designer-internship-in-hyderabad-at-greater-than-educational-technologies1776071354
Social Media & Content,P&M,Gurgaon,No,"₹ 8,000 - 10,000 /month",8000,10000,N/A,1 week ago,https://internshala.com/internship/detail/social-media-content-internship-in-gurgaon-at-p-m1776054396
Graphic Design,Seeds Fincap Private Limited,Gurgaon,No,"₹ 2,000 - 10,000 /month",2000,10000,N/A,2 weeks ago,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-seeds-fincap-private-limited1775821117
Inside Sales,PurpleTalk India Private Limited,Hyderabad,No,"₹ 10,000 /month",10000,10000,N/A,2 weeks ago,https://internshala.com/internship/detail/inside-sales-internship-in-hyderabad-at-purpletalk-india-private-limited1775818716
Business Strategy,VIZON,"Dehradun, Delhi, Bangalore",No,"₹ 8,000 - 16,000 /month",8000,16000,N/A,2 weeks ago,https://internshala.com/internship/detail/business-strategy-internship-in-multiple-locations-at-vizon1775788136
Retail,Sanspreils Greenlands Private Limited,Gurgaon,No,"₹ 8,000 - 15,000 /month",8000,15000,N/A,2 weeks ago,https://internshala.com/internship/detail/retail-internship-in-gurgaon-at-sanspreils-greenlands-pvt-ltd1775749072
Cinematography,Style Fashions,Delhi,No,"₹ 7,000 - 10,000 /month",7000,10000,N/A,2 weeks ago,https://internshala.com/internship/detail/cinematography-internship-in-delhi-at-style-fashions1775651340
Client Acquisition,Angel One (AP),Work from home,Yes,"₹ 1,000 - 20,000 /month",1000,20000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-client-acquisition-internship-at-angel-one-ap1775638520
Content & E-Commerce Management,Kanha Creation,Delhi,No,"₹ 4,100 - 7,000 /month",4100,7000,N/A,2 weeks ago,https://internshala.com/internship/detail/content-e-commerce-management-internship-in-delhi-at-kanha-creation1775631968
Telecalling,Novo Learning Private Limited,Bangalore,No,"₹ 25,000 - 40,000 /month",25000,40000,N/A,2 weeks ago,https://internshala.com/internship/detail/telecalling-internship-in-bangalore-at-novo-learning-private-limited1775623522
UX/UI Design,VIZON,Work from home,Yes,"₹ 13,000 - 22,000 /month",13000,22000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-ux-ui-design-internship-at-vizon1775623178
Embedded Systems,VIZON,Work from home,Yes,"₹ 14,000 - 22,000 /month",14000,22000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-embedded-systems-internship-at-vizon1775608275
Backend Development,VIZON,Work from home,Yes,"₹ 11,000 - 17,000 /month",11000,17000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-vizon1775608222
Software Development,VIZON,Work from home,Yes,"₹ 11,000 - 17,000 /month",11000,17000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-software-development-internship-at-vizon1775608161
Front End Development,VIZON,Work from home,Yes,"₹ 12,000 - 20,000 /month",12000,20000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-front-end-development-internship-at-vizon1775608135
Business Development (Sales),VIZON,Work from home,Yes,"₹ 11,000 - 21,000 /month",11000,21000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-vizon1775608093
Finance,VIZON,Work from home,Yes,"₹ 11,900 - 21,000 /month",11900,21000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-finance-internship-at-vizon1775608058
Creative Writing,VIZON,Work from home,Yes,"₹ 11,000 - 21,000 /month",11000,21000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-creative-writing-internship-at-vizon1775608000
Artificial Intelligence (AI),VIZON,Work from home,Yes,"₹ 13,000 - 21,000 /month",13000,21000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-vizon1775607953
Social Media Marketing,VIZON,Work from home,Yes,"₹ 12,000 - 20,000 /month",12000,20000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-social-media-marketing-internship-at-vizon1775607904
Customer Service/Customer Support,Arihant Publications,Noida,No,"₹ 12,000 - 15,000 /month",12000,15000,N/A,2 weeks ago,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-arihant-publications1775553927
Human Resources (HR),Zucol Services Private Limited,Jaipur,No,"₹ 5,500 - 9,500 /month",5500,9500,N/A,2 weeks ago,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-zucol-services-private-limited1775542027
Community Marketing,CareerNet Technologies Private Limited,Bangalore,No,"₹ 15,000 - 20,000 /month",15000,20000,N/A,2 weeks ago,https://internshala.com/internship/detail/community-marketing-internship-in-bangalore-at-careernet-technologies-private-limited1775544132
Digital Marketing,Shunya Digital,Work from home,Yes,"₹ 3,100 - 7,000 /month",3100,7000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-shunya-digital1775505588
Graphic Design,Shunya Digital,Work from home,Yes,"₹ 4,100 - 12,000 /month",4100,12000,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-shunya-digital1775505173
Business Development,NoBroker Technologies Solutions Private Limited,Bangalore,No,"₹ 24,000 /month",24000,24000,N/A,2 weeks ago,https://internshala.com/internship/detail/business-development-internship-in-bangalore-at-nobroker-technologies-solutions-private-limited1775493992
Videographer & Video Editor,Tanya Uttrani,Bangalore,No,"₹ 20,000 - 25,000 /month",20000,25000,N/A,2 weeks ago,https://internshala.com/internship/detail/part-time-videographer-video-editor-internship-in-bangalore-at-tanya-uttrani1775472228
Digital Marketing,CK Birla Healthcare Private Limited,Gurgaon,No,"₹ 18,000 - 18,001 /month",18000,18001,N/A,2 weeks ago,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-ck-birla-healthcare-private-limited1775461085
AI Agent Development,Shunya Digital,Work from home,Yes,"₹ 3,100 - 5,001 /month",3100,5001,N/A,2 weeks ago,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-shunya-digital1775468274
Search Engine Optimization (SEO),Web Glaze Services,Mohali,No,"₹ 4,000 - 5,000 /month",4000,5000,N/A,2 weeks ago,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-mohali-at-shikha-sharma1775455271
Digital Marketing,PATEL ENGINEERING COMPANY,"Pune, Pimpri-Chinchwad",No,"₹ 5,000 - 10,000 /month",5000,10000,N/A,2 weeks ago,https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-patel-engineering-company1775448891
Web Development,VIZON,"Dehradun, Bangalore",No,"₹ 12,000 - 20,000 /month",12000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/web-development-internship-in-multiple-locations-at-vizon1775221357
Game Development,VIZON,Work from home,Yes,"₹ 15,000 - 20,000 /month",15000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-game-development-internship-at-vizon1775220935
CAD Design,VIZON,"Dehradun, Bangalore",No,"₹ 11,000 - 20,000 /month",11000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/cad-design-internship-in-multiple-locations-at-vizon1775220493
Graphic Design,VIZON,Work from home,Yes,"₹ 10,500 - 20,000 /month",10500,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-vizon1775220347
Telecaller,Angel One (AP),Work from home,Yes,"₹ 2,000 - 10,000 /month",2000,10000,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-telecaller-internship-at-angel-one-ap1775215728
Curriculum Developer - English/EVS/History/Hindi,Ampersand Group: Vibgyor Group Of Schools,Mumbai,No,"₹ 15,000 - 20,000 /month",15000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/curriculum-developer-english-evs-history-hindi-internship-in-mumbai-at-ampersand-group-vibgyor-group-of-schools1775197663
Human Resources (HR),Community Action Through Motivation Program,Bhopal,No,"₹ 3,000 /month",3000,3000,N/A,3 weeks ago,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-community-action-through-motivation-program1775192825
Assistance Director (Video Ads & TV Advertising),Viacom India LLP,"Delhi, Gurgaon",No,"₹ 5,000 - 7,000 /month",5000,7000,N/A,3 weeks ago,https://internshala.com/internship/detail/assistance-director-video-ads-tv-advertising-internship-in-multiple-locations-at-viacom-india-llp1775192494
Video Editing/Making,Scaler Academy,Bangalore,No,"₹ 20,000 - 25,000 /month",20000,25000,N/A,3 weeks ago,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-scaler-academy1775135988
Global Volunteering Intern,AIESEC India,Top international cities,No,Unpaid,0,0,N/A,3 weeks ago,https://internshala.com/internship/detail/global-volunteering-intern-internship-in-multiple-locations-at-aiesec-india1775133791
Global Talent Intern,AIESEC India,Top international cities,No,Unpaid,0,0,N/A,3 weeks ago,https://internshala.com/internship/detail/global-talent-intern-internship-in-multiple-locations-at-aiesec-india1775133195
Tech Support & Operations,FileSure India Private Limited,Work from home,Yes,"₹ 5,000 - 10,000 /month",5000,10000,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-tech-support-operations-internship-at-filesure-india-private-limited1775120738
Search Engine Optimization (SEO),Shunya Digital,Work from home,Yes,"₹ 3,500 - 5,001 /month",3500,5001,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-search-engine-optimization-seo-internship-at-shunya-digital1775116911
Human Resources (HR),Bharti Axa Life Insurance Company Limited,Mumbai,No,"₹ 15,000 - 20,000 /month",15000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-bharti-axa-life-insurance-company-limited1775113759
3D Designer,VIZON,Dehradun,No,"₹ 12,000 - 21,000 /month",12000,21000,N/A,3 weeks ago,https://internshala.com/internship/detail/3d-designer-internship-in-dehradun-at-vizon1775102608
Data Analytics,VIZON,Work from home,Yes,"₹ 10,000 - 17,000 /month",10000,17000,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-vizon1775052817
Video Editing/Making,Shunya Digital,Work from home,Yes,"₹ 5,500 - 7,001 /month",5500,7001,N/A,3 weeks ago,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-shunya-digital1775039261
Marketing,Anderson Diagnostics And Lab,Chennai,No,"₹ 10,000 - 12,000 /month",10000,12000,N/A,3 weeks ago,https://internshala.com/internship/detail/marketing-internship-in-chennai-at-anderson-diagnostics-and-lab1775023965
Community Management,CK Birla Healthcare Private Limited,Gurgaon,No,"₹ 18,000 - 20,000 /month",18000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/community-management-internship-in-gurgaon-at-ck-birla-healthcare-private-limited1774982350
Recruitment,Vindhya E Infomedia Private Limited,Bangalore,No,"₹ 5,000 - 8,000 /month",5000,8000,N/A,3 weeks ago,https://internshala.com/internship/detail/recruitment-internship-in-bangalore-at-vindhya-e-infomedia-private-limited1774973727
Sales,NoBroker Technologies Solutions Private Limited,"Faridabad, Delhi, Gurgaon, Noida",No,"₹ 8,000 - 20,000 /month",8000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/sales-internship-in-multiple-locations-at-nobroker-technologies-solutions-private-limited1774972622
Video Editing/Making,Vaibhav Global Limited,Jaipur,No,"₹ 12,000 - 14,000 /month",12000,14000,N/A,3 weeks ago,https://internshala.com/internship/detail/video-editing-making-internship-in-jaipur-at-vaibhav-global-limited1774935730
Campus Ambassador,LeapScholar,Jaipur,No,Performance Based,0,0,N/A,3 weeks ago,https://internshala.com/internship/detail/campus-ambassador-programme-at-leapscholar1774940937
Linux Engineer,VIZON,Dehradun,No,"₹ 12,000 - 23,000 /month",12000,23000,N/A,3 weeks ago,https://internshala.com/internship/detail/linux-engineer-internship-in-dehradun-at-vizon1774931353
Animation,VIZON,Dehradun,No,"₹ 14,000 - 26,000 /month",14000,26000,N/A,3 weeks ago,https://internshala.com/internship/detail/animation-internship-in-dehradun-at-vizon1774908772
B. Pharmacy,Pulse Pharmaceuticals,Hyderabad,No,"₹ 15,000 - 20,000 /month",15000,20000,N/A,3 weeks ago,https://internshala.com/internship/detail/b-pharmacy-internship-in-hyderabad-at-pulse-pharmaceuticals1774870658
Digital Marketing,Susa Nuts Private Limited,Ludhiana,No,"₹ 8,000 - 14,000 /month",8000,14000,N/A,3 weeks ago,https://internshala.com/internship/detail/digital-marketing-internship-in-ludhiana-at-susa-nuts-private-limited1774869298
Social Media Marketing,Visual Eyes Films,Hyderabad,No,"₹ 5,000 - 15,000 /month",5000,15000,N/A,3 weeks ago,https://internshala.com/internship/detail/social-media-marketing-internship-in-hyderabad-at-visual-eyes-films1774699845
